,result
5035,"[""Fiche d'information sur le produit."", 'REGLEMENT DELEGUE (UE) 2019/2015 DE LA c0MMISsION en ce qui concerne Ietiquetage', 'Nom du fournisseur ou marque commerciale. Shenzhen jieshunxin Purify Technology Co., Ltd', 'Adresse du fournisseur: Prolinx GmbH, Brehmstr.56 duseldorf, DE', 'Reference du modele: L12V-001-W', 'Type de source lumineuse:', ""Technologie d'eclairage utili-"", 'Non-dirigee ou diri', 'NDLS', 'de culot de Ia source lum', ""(ou d'autre interface electrique"", 'Sourcectee (SLC)', 'Nor', 'Enveloppe:', 'Source ', 'Protection a', 'Non', 'Parametre', 'generaux du produit', ""Consommation d'energie en"", ""Classe d'efficacite"", 'energetique', 'Flux lumineux utile (use), avec', '1 500 sur', 'Temperature', '3000..65000', 'dans une sphee (3609) dans un', 'proche, ou la plage', '0,00', 'et arrondie', 'Puissance en mode veille Pe).', 'Indice de rendu', 'di a rentier le plus', 'Page 1 / 3', "" de valeurs d'IRC qui"", 'Dimensions', 'Hauteur', 'Distribution de Ia', 'Voir limage de Ia', 'page precedente', 'de suesmw', ' pleine charge', 'Reciairage ni', 'fonction', 'equivalente wssar', 'valente', 'Coordonnees chro-', 'matiques(x et y', 'es LED et OLE', ""R9 valeur de I'indice de rendu"", 'Facteur de survie', '1,00', 'cteur de conservation du flux', '0,96', 'lumineux', 'teur LED et OLED:', 'Facteur de dephasage (cos 1', '0.94', 'ce des cou', ""Declaration qu'une source lu-"", 'Si oui, declaration', 'LM)', '(SVM)', 'Pae 2 3']"
5036,"['ENERG', 'eHeprn Evepyeia', 'SAMSUNG', 'UE50TU7090U', 'A+++', 'A++', 'A+', 'A', 'A', 'B', 'C', 'D', 'ENERGIAEHEPTOA', 'ENEPTEIAENERGIJA', '126', 'ENERGYENERGIE', 'ENERGI', '86', 'kWh/annum', 'Watt', '125', '50', 'cm', 'inch', '2010/1062 - 2020']"
5037,"['Helles LED Licht', 'StVZO-konform', 'Federgabel', 'Fur optimalen', 'Fahrkomfort', 'StraBenprofil', 'Reifen', 'Fur ein angenehmes', 'Fahrgefuhl', 'Vorderrad-', 'nabenmotor', '250 Watt Leistung', 'sorgen fur ein.', 'entspanntes Fahren', 'von bis zu 25 km/h']"
5038,['ROCE']
5039,"['17.3cm', '2cmi', '10.2cm']"
5040,"['PRODUKTDETAILS', 'Y DIAMOND', ' Schnitt- und abriebfeste funflagige Diamantversiegelung', 'LITE', 'o Der abnehmbare Stiel- praktisch, sicher, Tuv/GS-gepruft', 'o Backofenfest bis 250 C ohne abnehmbaren Stiel.', 'Spulmaschinenfest', 'o Schnelle Hitzeverteilung und -speicherung.', '26 cm', '7 cm', 'TUVRheinland', 'ZERTIFIZIERT', 'GEWICHT: 1,40 kg', 'ID 0000034062', 'MADE IN GERMANY', 'Gas', 'Electric', 'Ceramic', 'Halogen', 'Oven', 'Dishwasher']"
5041,"['Measurement Method', 'ARNTY Notes:', 'Please include the sofa arm when measure the sofa length', 'Please check the next picture for L-shaped sofa measurement method', 'Sofa length between 90cm-140cm', 'choose 1 seater sofa slipcover', 'Sofa length between 141cm-180cm', 'choose 2 seater sofa slipcover', 'Sofa length between 181cm-230cm', 'choose 3 seater sofa slipcover', 'Sofa length between231cm-300cm', 'choose 4 seater sofa slipcover']"
5042,"['Strong Adhesion, No Drilling.', 'Bearing Weight Upto 3o Lbs', 'No Drilling', 'No Tools', 'Removable', 'Rustproof']"
5043,"['27', '(271)', 'CD', '<Reset', 'QDEALED', 'Room', 'ZigBee3.0 Wireless LED Controller', 'ModelNO:ZC05M-USB', 'Input Voltage:DC5V', '+', 'Total Power:30w Max', 'Output Current:3A Max', 'ZigBee HUB Required', 'FCEROHSP20']"
5044,"['129 cm', '18.5 cm']"
5045,"['Ours', 'Others', '30 Watts (375W Equiv)', '18 Watts (150W Equiv)', '1500LM Dim Lighting', '4000LM Super bright', '1 Color Temperature', '5 Color Temperatures', 'Non-Dimmable', '5%-100%Brightness', 'Short Lifespan & Fragile', '50000Hrs Lifespan & Safe', 'Need To Replace Bulbs Often', 'No Need To Replace Bulb']"
5046,"['SPECIFICATION', 'Model', 'Volt/ Freq', 'LOW', 'V-/Hz', 'califlow 100mrr', 'califiow 125mn', '230V-50H', 'alifflow 150mm', 'J230V50F', 'DIMENSION(mm)', 'Model', 'mm', 'alfow 100n', '256', 'califow 150r', '230V-50Hz']"
5047,"['Imde', '46cm', 'e', '53cm', '95cm']"
5048,"['Pinkw', 'Storage Case', 'pOrtablE &', 'COMPACT', 'PinklyPower', 'PinkwPower', '2.5in', '6in', '10in']"
5049,"['STANLEY', '12 in', '3.5 in']"
5050,"['Colour', 'Black', 'Material', 'Wood', 'Item Weight', '70.0 Kilograms', 'Frame Material', 'Wrought Iron']"
5051,"['3.6cm/1.42in', '4cm/1.57in', '4.3cm/1.69in', '4.8cm/1.89in', 'Material: Resin', 'Weight: 100g', 'Color: black and white', '(including packaging)', 'Contains: 4Pcs Ornaments']"
5052,['none']
5053,"['15.5cm', '8.5cm']"
5054,"['Supplement Facts', 'Serving Size 1 tea bag makes 8 fl. oz.', 'Servings Per Container 16', 'Amount Per Serving', '%DV', 'Calories', '0', 'All Herbal Ingredients', 'Organic dandelion herb with root', '1750 mg', '+', 'Daily Value DV not established', 'Made by TRADITIONAL MEDICINALS', '4515 Ross Road,Sebastopol, CA 95472 USA', 'Certified organic by CcoF.All Ingredients Certified Organic', 'Certified', 'NON', 'USDA', 'GMO', 'Project', 'ORGANIC', 'VERIFIED', 'nongmoproject.org', 'Corporation', 'Consult your healthcare practitioner prior to use if you have liver or gallbladder', 'disorders, bowel obstruction or if you are pregnant or breastfeeding', 'Discomfort due to gastric hyperacidity may occur after taking bitter herbs.Do not', 'use if you have kidney disease,diabetes, or heart failure or if you are allergic to', 'plants in the daisy (Asteraceae) family.This product should be used for periods of', 'up to 2 weeks, followed by a break before resuming.', '*These statements have not been evaluated by the Food and Drug Administration', 'This product is not intended to diagnose, treat, cure or prevent any disease.']"
5055,"['Waterproof design', '1/4"" color CMOs sensor with effective 380,000 pixels', 'Flexible mounting bracket inciuded', 'Camera dimensions (WxHxD):23.4mm x 23.4mmx 23.9mm', 'Weight: 21g (Camera only)', '104', '129', 'degree', 'degree']"
5056,"['Product Information', '40cm', '70-80cm', '35-45cm', '42cm']"
5057,"[';Montagne', 'energy spring wate', '1herbs,', ""We're vegetarian and"", ""7'Heaven"", ""'TREAT!"", 'Mals are our friends,', ""that's why we dont bash"", 'Dry', 'COCONUT', 'Pressed Coconut', 'eave', 'Deep Moisture Boost Hydrating Mask', 'Rinse Off', 'Jork', 'ry)', 'Pat Dry', 'And', 'OcOnuts!', 'HYDRATING', 'ration', 'MOISTUREOF', 'CREAMY', 'M Shea', 'COCONUT', 'shness', 'P.S.Enjoy!)', 'DEEPMOISTURE BOOST', 'clay', 'CREAMED COCOA BUTTER', 'PULPED SHEA BUTTER', '0.5 fI oz', 'PRESSED COCONUT', 'l5MIe']"
5058,"['24V5', '24V5', '24V5', 'LIION BATTERY']"
5059,"['13mm', '15.5mm', 'SW', 'EET', 'about: 7.2g']"
5060,"['The Connecting Way', 'VDG', '+5VADD', '10cm/4in', 'or', 'VDG', '64cm / 25in', '63cm/24.8in', '42cm/16.5in', '5cm/2in']"
5061,"['5.1IN/13CM', '5.1IN/13CM']"
5062,"['Size Display', '5.5in/14cm', '1.5in/3.8cm', '7in/18cm', '10.2in/26cm', 'ZHMA', '30W', 'IP66', '4.5in/11.5cm']"
5063,['59 in']
5064,"['INSIDEMOUNT', 'Fabric Width = Blind Width-0.5""', '*Any questions about size selection,', 'Blind Width = Window Width -1/4""', 'please feel free to contact us.', '27""', 'OUTSIDEMOUNT', '72""', 'Blind Width =Window Width + 4""']"
5065,['none']
5066,"['BVB', '09']"
5067,"['4.7 inch', '0.98 inch I', 'Swivel canopy for', 'sloped ceilings', '6 inch', 'Adjustable Height', '39.2 inch', '9.8 inch', 'Specification', '26 inch', 'Bulb Base: E12', 'Material: Metal', 'Voltage: 110-120V', 'Color: Faux Wood Grain', 'Bulb Wattage: Max 40W', 'Bulb NOT Included', '22 inch']"
5068,"['330', 'lbs', '10.6""', '17.7""', '33.8""~42""', '23.2""~31.1""', '16""']"
5069,"['Full Size', 'Ibs', '800', 'Weight Capacity', '800 Ibs', '9.6""', '26.', '57.5""', '2.8', '22""', '5.5""', '16.9""', '44.1-46.9""', '54.7""', ""76'"", '12.8""', '56.3""']"
5070,"['PRODUCT DIMENSIONS', '4.5in/11.4cm', '2.6in/6.7cm', '1.3in/3.35cm', '8in/20.2cm', '0.26in/0.65cmH', 'No Visible Gaps', 'Accessories:']"
5071,"['Strath', 'Krauterhefe', 'Herbal Yeast', 'Original', 'Strath', 'nd', 'Krauterhefe', 'ans du', 'Herbal Yeast', 'oitie', 'uta', 'Original', 'Levure vegetale', 'Levure vegetale', 'Lievito vegetale', 'Lievito vegetale', '250mL']"
5072,"['Inhuler', 'Inhaler', 'nhuler', 'POY-SIAN', 'POY-SIAN', 'POY-SIAN', 'BRAND MARKI', 'BRAND MARKI', 'BRAND MARKI', 'RELIEF OF NASAL CON', 'PELIEF OF NASAL CONS', 'RELIEF OF NASAL CONS', 'MENTHOL.CAMPHO', 'MENTHOL,CAMPH', 'MENTHOL,CAMPHO', 'EUCALYPTUS OIL,BOR', 'EUCALYPTUS OIL,B0R', 'EUCALYPTUS OIL,BOR', 'e', 'e', 'OY-SIAN BRA', 'SIAN BRAND', 'ARK Inhale', '200ML CONTAINS', 'LCONTAINS:', 'URCUUSLULOLUIS!', 'HOL', 'PHOR', '42.0%', '16.4%w', 'YPTUS OIL', '16.4%', 'SOIL', '8.5%', '85%', 'CTS CO..LTD.']"
5073,"['215cm', '220cm', '605cm', '140cm', '420cm', '450cm', 'PORCH', '215cm', '100cm', '270cm', '235cm']"
5074,"['Thickness', '0.5mm', 'Length 47inch(120cm)', 'Width 12inch(30cm)']"
5075,"['DoggyRade', '10x', '250ml', 'NEW', 'NW', 'DoggyRade', 'ISOTONIC DRINK', 'Formulated', 'Doggy', 'By', 'Rade', 'Veterinarians', 'No Artificial', 'Colours or', 'Preservatives', 'Boosts', 'Health and', 'M', 'Well-being', 'For All Doo', 'Delicious Chicken Taste', 'aste']"
5076,"['13cm', '13cm', '7.5cm', '6cm']"
5077,"['8.5cm', '11.2cm', '6cm']"
5078,"['17VDermap', '#17VDerma', 'REST For Stressed Skin &Soul', 'REST For Stressed Skin &Soul', 'lang Mask', '25m0.84f.oz. 5ea', 'Vegan Facial Care |PiBuWang Mask', '25ml0.84f.oz', 'BEaor aneaaeg aku g eom']"
5079,"['Hochwertigen 4W', 'GU10 Light Source', 'Gehause aus Aluminium-Druckguss', 'schlagunempfindlich,nicht rostet', 'Wasserdichter Gummiring for', 'verbesserte Wasserdichtigkeit', 'Rubber Material Antioxidant', 'and Corrosion Resistance']"
5080,"['TASTY', ""7.5cm/2.95'"", 'HONEY', 'MUSTARD', ""3.2cm/1.26'""]"
5081,"['MAINTAIN HEALTHY', 'CELLS, SKIN, HAIR, AND NAILS', '73564-808-04', 'IROFOL', 'Helps make red blood cells', 'Polysaccharide Iron Complex', 'Iron is an essentialmineral', 'Transports oxygen to', 'muscles andorgans', 'MALT CHOCOLATE FLAVOR', 'Recommended by', 'Helps maintain healthy', 'Pediatricians, Hematologist', 'Oncologist, Nephrologist,', 'immunesystem', 'and Other', 'Healthcare Professionals', 'Helps preserve vital', 'functions', 'in the body', 'DIETARYSUPPLEMENT', '4fl.oz118mL', 'np', 'NEW', 'Pharmainc']"
5082,"['SODAR', 'SClohnson', '3', 'AFamily Company', 'Une Entreprise Familiale', 'Ziploc', 'MEDIUM', 'SQUARE', 'CONTAINERS &LIDS', 'MOYEN', 'CARRE', 'CONTENANTS', 'ET COUVERCLES', 'ipioc', 'One Press Seal', 'Fermeture Par', 'Simple Pression', 'DISHWASHER', 'LAVE-VAISSELLE', 'MICROWAVE', '1.18L/118L', 'MICRO-ONDES', '3CONTAINERS&LIDS', '3CONTENANTSE COUVERCLES', 'FREEZER', 'CONGELATEUR']"
5083,"['SSC::::LUXDN', 'GEEIGNET FUR', 'GROBE LEUCHTFLACHE', 'FUR BAD & AUSSEN', 'NEUTRALWEIBES LICHT', 'IP44', 'ANTHRAZIT GRAUER', 'KORPUS', 'INKL. LED GX53', 'LEUCHTMITTEL', 'WECHSELBAR', 'CEL-WX']"
5084,"['4.72in', '7.28in', '9.06in', 'Compatible with Standard E27 Base Bulb(Bulbs NOT Included)', '-', 'ES', 'E27 Base', 'Max 60W', '100-250V']"
5085,"['Triple Protection More Secure', '>G4', 'First Protective Layer', 'Fixing Buckle', 'Memory Safe Buckle', 'Second Layer', 'Hook-&-loop Bandage.', '>G4FREE', 'Third Layer', 'Reinforced Shoelaces', 'Thickened Strap', '04FREE', 'Stable Shoelaces']"
5086,"['uanduhome', 'DANISH', 'DESIGN', '310 ml', '565 ml', '975 ml', '20 cm', '16,5 cm', '13,4 cm', '14,4', '12,1', 'cm', '5,3 cm', '6,5 cm', 'ock&', 'Lock&Fresh', '1675 ml', '2725 ml', '23 cm', '27,4 cm', 'cm', '19,6 ', '7,6 cm', 'cm', 'Lock&Fresh', 'LOck', 'Entwickelt in Danemark, hergestellt in Europa']"
5087,"['ORZAX OREGANO OIL', '1 fl oz (30 ml)', 'MADE IN A', 'FDA', 'Supplement Facts', 'Serving size 3 drops', 'REGISTERED', 'Servings per container 200', 'FACILITY', 'Amount', '%Daily', 'Per Serving', 'Value', 'Oil of Oregano', '33mg', '+', '(Origanum onites)(leaf)', 'No Artificial.', 'No Artificial', 'tDaily Value not established.', 'Flavors', 'Colors', 'Other ingredients: Olive oil, mixed tocopherols.', 'No Chemical', 'Dairy', 'GMP', 'No Artificial', 'No Artificial', 'No Chemical', 'Dairy Free', 'PRACT', 'Preservatives', 'Free', 'Flavors', 'Colors', 'Preservatives', 'Made in Turkey to High GMP Quality Standards', 'ISO 9001', 'ISO22000', 'Manufactured For Orzax Inc.', '901 Mittel Drive,Wood Dale,IL 60191,USA', 'Visit us at our website', 'orzax.com', 'PARTY', '3RD', 'LAB', 'GMP', 'TESTED', 'PRAC']"
5088,"[""Fiche d'information sur le produit"", 'REGLEMENT DELEGUE (UE) 2019/2015 DE LA COMMISSION en ce q', 'nce en mode veille', '0,375', 'R9 valeur de Iindice de renc', 'acteur de survie', 'Facteur de c', 'r LED et OLED', 'Si oui declarat', 'Mesure du papillotement (Pst']"
5089,"['ECO', 'SOUL', '16 Oz', '6 inches', ' 2 inches', 'USDA', 'CERTIFIED', 'BIOBASED', 'PRODUCT', 'PRODUCT 100%']"
5090,"['48V 14AH', 'Lithium-ion Battery', 'Aspire', 'THROTTLE-MODE', 'PEDAL-ASSIST', 'SAMSUNG CELLS', '8', 'REMOVEABLE', 'BMS', '4HOURS', 'WATERPROOF', 'Power-Saving', 'Fast charge', 'Power Pack']"
5091,"['14.5cm/5.71in', '29.5cm/11.61in']"
5092,"['Seamless setup with vertical lens shift', '10.8 cm', '4.4 in', '22.2 cm 8.7 in', '31.2 cm 12.2 in']"
5093,"['CONVENIENTSTORAGE BOX', '2.6 in', '2.7 in', '1', '2', '3', '1.Easy to get things', '2.Armrest box closed completely.', '3.Easy to use cigarette lighter']"
5094,"['KNG KING CANADA', '9WOOD BANDSAW', 'SCIE A RUBAN DESPOUR LE BOIS', 'KING CANADA', 'KING', 'KING CANADA']"
5095,"['ZLF', 'Au999', '5.20g']"
5096,"['8cm', '9.5cm', '16mm']"
5097,"['Nutrition Facts', 'Serving Size 8 fl oz (240mL)1cup', 'Servings Per Container 8', 'Amount Per Serving', 'Calories 50', 'Calories from Fat 0', '%Daily Value', 'Total Fat 0g', '0%', 'Sodium 40mg', '2%', 'Potassium 90mg', '3%', 'Total Carbohydrate 11g', '4%', 'Sugars 11g', 'Protein 0g', 'Not a significant source of saturated fat, trans fat, cholesterol, dietary', 'fiber,vitamin A,vitamin C,calcium, or iron.', 'Percent daily values are based on a 2oo0 calorie diet.']"
5098,"['TDM-100M', 'owerMax', 'R', 'Fitness', 'Multifunction Treadmill', 'RowerMax', '2HP', 'DC Motor', 'O5KEG', 'Max User Weight', '49.6X16.9INCH', 'Running Surface', 'LifeTime', 'Warranty', '*Frame', 'TDM-100M']"
5099,"['Westek', 'CANDELABRA 3 PACK LIGHTCONTROL', 'Highlights', 'Specifications', '120V~60Hz', 'Incandescent bulbs only', '60w Maximum Bulb up', 'Outdoor use with rain tight fixture', ""Don't use with opaque or frosted glass fixture"", '40w Maximum Bulb down', 'Each bub socket must have a Candelabra Light', 'Polyethylene', 'terephthalate (PET) plastic', 'Controlinstaled for lights to operate', 'Note:To extend bub ife cnd increase energy savings.unit', 'widecrease ight output20-25%.', 'Limited Warranty Under norma use and conditions,AmerToc provides to the original purchaser of this product a one', 'to couse concer and birtn defects or other reproducfive ham.', 'SAVES ENERGY', 'DUSKTODAWN', 'OUTDOOR', 'SCREW-IN', 'Especificaciones', 'Caracteristicas', 'Focos incandescentes solamente', '120V~60Hz', 'Para uso en exteriores con lampara hermetica', 'Max.60 w foco hacia amiba', 'No utilizar con dispositivos de vidrio escarchado', 'Max.40w focohacia abajo', 'uopaco', 'Cada portafoco debe tener un control de luz', 'Plastico de tereftalato de', 'polietileno (PET)', 'luces funcionen correctamente', 'Aviso:Para prolongar la vida util del foco y ahorrar mos energia,la', 'unidad reduciralaintensidad de la luz en un 20%a25%', 'Garantia limitada En condiciones y uso normales AmerTac otorga al comprador original de este producto una', 'garantia limitada se otorga en lugar de todas las demas garantias oresponsabidades expresas o impicitas,sujeto', 'del conocimiento del Estado de California que este producto contiene sustancias quimicas que causan cancer y/u', 'otros danos reproductivos.', 'Contains/Incluye3-SLC2', 'AmerTac', '250 Boulder Dr.', 'SLC2BCB3NB', 'Breinigsville,PA 18031', 'CONFORMS TO UL STD773A', '610-336-1330', 'CERTIFIED1OCSA STDC22.2#184', 'www.amertac.com', 'CUMPLE LA NORMA UL773A', 'Made in China', 'Intertek', 'CERTIFICADO SEGUN LA NORMA', '2017AmerTacTM', '3095362', 'CSAC22.2#184', '7068650765', 'P17-0107-B']"
5100,"['Schs', 'imli', '%001', '100%', 'Ciema', 'Cema', 'ARAGICA', 'ARABICA', 'ERCISCHEERSTADINAON', 'GANZE BOHNEN', 'STARXEGRAD', 'GANZE BOMNEN', '00000', 'STARKEGRAD', '00000', 'e1kg', 'UTE', 'e1kg']"
5101,"['PRODUCT DIMENSION', '70""', 'EXTENSIBLE', '48""', '30.5', '60""', '50""', '40""', '30""', '59""', '20""', '10""', ""15'"", '28.4""']"
5102,"['QUANTE BOTTIGLIE?', 'HOW MANYBOTTLES?', 'COMBIEN DE BOUTEILLES?', 'X16=UN PELUCHEDI3OCM.', 'ASOFTTOYOF 3OCM.', 'UNE PELUCHE DE 3O CM.', 'X14=UNPELUCHEDI25CM.', 'ASOFTTOYOF25CM.', 'UNEPELUCHE DE25CM.', 'X1O=UNPELUCHE DI 18CM.', 'A SOFTTOYOF18CM.', 'UNEPELUCHEDE 18 CM.']"
5103,"['33.5""', '21.5""', '25.75""']"
5104,"['Before', 'Tide', 'Jide', 'LEA', 'DS41OXI', 'Dove', 'PDSO', '0', 'VESATRE', 'SAN', 'ove', 'Woolite', 'IOMAVA', 'MAVA', '33%', 'Tide', 'Dove', 'Dove', '155', '155', 'HMAVA', 'After']"
5105,['Adjustable Length: 16-30cm(6.29-11.81inch)']
5106,"['TARO', 'TEA', 'BUBBLE', 'TEA', 'Taro', ""with tapioca pearl's""]"
5107,"['YARER', 'Lead Acid Battery', 'LiFePO4 12V/12Ah', 'LIFE TIME', '10 Years', '3 Years', 'CYCLES', '>5000Times', '200-500 Times', 'WATER PROOF', 'IP65 Waterproof', 'Not Waterproof', 'VATRER', 'WEIGHT', '.', '3 Times The Weight', '3.3lbs']"
5108,"['FROM THE HOUSE O', 'INGREDIENTS:Coffee Beans', 'fssat', 'Nutritional Information per 100g', 'c.No.1001404900070', 'Energy', '356.04 kcal', 'Brew a Cupful of Bliss', '73.15g', 'Carbohvdrates', '1sp..7g.of LEVISTA', '15.86g', '1isp.8g of sa', 'Protein', '*|20ml of hot milk/hot waer', 'Fat', '0', 'Total Sugars', '0', 'Store in a cool dry', '*Approximate values.It does not', 'and hygenic place.', 'Always use a dry spoon.', 'include the values of milk and sugar.', 'Net Weight:50g', 'Batch No.', 'Mfd.', 'Date of Expiry', 'BEST BEFORE 18 MONTHS', '8906031931271', 'FROM DATE OF MANUFACTURE', 'Manufactured & Marketed by', 'SLN Coffee Pvt.Ltd.53-56KIADB Industrial Area Kudur,', 'PO Box:47.Kushalnagar-571 234 TOLL FREE1800425 6061.', 'E-Mail: care@slncoffee.com']"
5109,['30 Lbs']
5110,"['cake', 'naturally luxe beauty', 'baby', 'skin', 'bubble', 'facial', 'smoothly exfoliates', 'boosts radiance', 'TOTALLY-TO-DIE-FOR', 'BUBBLING', 'PURIFYING', 'MASK', 'w/fruit ferment complex', 'e 50 mL/1.69 fl.oz']"
5111,"['35mm', '34mm', '170mm', '22mm', '4mm']"
5112,"['43cm', '30cm', '40cm', '17.5cm']"
5113,"['Adjustable', 'Retractable to a maximum', 'length of 12 inches', '13mm']"
5114,"['Designed for fast', 'charging of laptops', '80%Charged']"
5115,"['Contains Vital Nutrients', 'Vit', 'C', 'TALLER', 'Horlicks', 'Vit', 'D', 'Zinc', 'CLASSIC', 'MALT', '500 g']"
5116,"['55cm', '62cm']"
5117,"['32cm/12.6in', '17cm/6.7in', '1.5cm/0.6in', '2m/6.6ft(lead wire)']"
5118,"['DARK HAZELNUT', 'LES GRANDES', '34% HAZELNUTS', '150', 'DARK', 'g']"
5119,"['Conqto', '6', '100% COMPATIBLE', 'WITH IPHONE6', 'Only', 'Not for iPhone 6S/6 Plus/6S Plus', 'Not for 6s/6Plus/6s Plus', 'Li-Polymer Battery', 'Standard Voltage:3.82V', 'Charge Limit Voltage:4.35V', 'Watt-hour:12.22wh', '+33%', 'CHARGING SPEED', '3200', 'mAh', 'New Upgraded', '>90%', 'CONVERSIONRATE', 'Potential for fire or burning', 'Do not disassemble,', 'puncture,crush,heat,or burn', 'RoHSEFC', 'MADE IN CHINA']"
5120,"['SIZE REFERENCE', 'Below are some of our customers in the All Weather Step-In Mesh Harness.', 'Please note that these photos are for reference only. Be sure to ALWAyS MEASURE your pet when sizing for a harness.', 'XS', 'XS', 'XS', 'Chihuahua (6 lbs)', 'Chihuahua-Maltese', 'House Cat 6 lbs)', 'House Cat11 lbs', 'Italian Greyhound', 'Yorkie Mix 6 lb', '9lbs', 'Miniature Pinscher', 'Mini Poodle Mix', 'Peakapoo 9 lbs', 'Maltipoo11 lbs', 'House Cat 15 lbs', '6 lbs', '12.5 lbs', 'M', 'Miniature', 'Husky Puppy 9 lbs', 'German Shorthaired', 'Daschund12 lbs', 'Chihuahua Mix', 'Schanuzer14lbs', 'Pointer (14bs', '14lbs', 'Yorkie Mix15 lbs', 'Pug 19 lbs', 'Miniature Schnauzer', 'Daschund', 'Boston Terrier', '16lbs)', 'Retriever Mix 17 Ibs)15 Ibs)', 'XL', 'XL', 'XL', 'Miniature Poodle', 'Saint Pyrenees', 'Retriever Mix', 'Beagle', '(20 Ibs', '12lbs)', '(25lbs', '(30 lbs)']"
5121,"['1.3 cm', '36', '50', 'Bottles', 'ML', 'Also Included: 36 Pieces of Cork Tops', '7.5 cm', 'BPA', 'MADE IN', 'GERMANY', 'FREE', 'HIGH', '4 cm', 'QUALITY', 'Dishwasher']"
5122,"['PEARL BARLEY', '1KG/35.2OZ']"
5123,"['25""', '7.3""', '4.6""', '25.9""', '13.1""', '30.2""', '-', '54""', '15.6""']"
5124,"['2.75in/7 cm', '3.9in/10cm']"
5125,"['Loading', 'capacity', '3kg']"
5126,"['2.1cm', '1.7m', '5.8CM', '5.5cm', '4/CM', '15g', '2.8cm']"
5127,"['TKG3', '60MM', '600MM', '720 MM']"
5128,"['S', 'SK-II', '40cm/15.7in', 'HNA', '-18cm/7in', '34cm/13.3in']"
5129,"['Product Description', 'Input', 'AC110-240V~50/60Hz0.8A', 'Output USB1/2/3/4', '5V=3.1AMax', 'Total15.5W/3.1A', 'Material', 'PC fire-proof material', 'Size', 'UK Plug:80*49*45mm', 'Safety Certificate', 'CECBROHS', 'Charging Technology', 'Smart IC2.4A high speed', 'Package', 'Rekavin 3.1A USB plug*1;Manual*1', 'Rekavin']"
5130,"['78.74""/200cm', '70.87""/180cm', '17.72""/45cm']"
5131,"['FOOT PEEL MASK', 'FOOTPEI', 'SMOOTH/MOISTURIZING/ANTI-AGING', 'SMOOTH/MOISTURIZ', 'Inprove Dry Skin Let Your Feet', 'Easily Hydrate And Say Goodbye To Roughness', 'ROUGH CALLUSES', 'DRYPEE', 'FUNCTION:', 'This Foot Mask Could Moisturize Your Feet Skin, So Th', 'Skin Let Your Feet Easily Did Farewell To The nough ', 'And This Mask Can Also Soften The nough Cuticie, A', 'PAIR', 'INGREDIENTS:', 'Water, Glycerin Mandelic Acid, Dutyrospermum Park', 'Sodium DodecylbenzenesulfonateLactic AcidMilk Ex', 'NON', 'Castor Oil, Triethanolamine, Aroma', 'APPLICABLE SYMPTOMS:', 'Foot Skin Dry nough Dry Crack Calluses, Cuticle Scer', 'DIRECTIONS', '1.Clean and wipe your feet take out the mask and out', '2.Put the mask on. gently massage the outside of mas', 'the essence.', '3.Close the attach stickers around your ankle, take off', 'your feet with clean water', '4.1ave a foot bath with warm water after 40 hours,', 'HOW TO STORE:', 'SOFTEN', 'EXFOLLATING', 'This foot mask should be stored in dry and cool place,', 'from any high temperature, keep out of reach of childre', 'ROUGH CUTICLES', 'VEGAN', 'DIST BY:Meizhuangzhiku Quangzhou Technology Co.', 'Protect Fragile Skin, Moisturize Foot', 'Hacaliangan Information Technology Park No.ao', 'SkinMultiple Moisturizing', 'CRUELTYFREE', 'noad Ielong streetDaiyun District GuangzhouPn', 'Shelf life:3 years']"
